occupation_group,hist_last7,forecast_next7,delta,pct
Eventsäljare/Eventförsäljare,25.0,87.5,62.5,2.5
Account manager/AM,26.0,81.28730652360991,55.287306523609914,2.126434866292689
Telefonförsäljare,31.0,29.31579153738907,-1.684208462610929,-0.05432930524551384
Personlig assistent,72.0,18.67897222894631,-53.32102777105369,-0.7405698301535235
"Sjuksköterska, grundutbildad",57.0,15.780713978301199,-41.2192860216988,-0.7231453688017333
"Butikssäljare, dagligvaror/Medarbetare, dagligvaror",19.0,15.227781672065744,-3.7722183279342563,-0.19853780673338192
Lagerarbetare/Terminalarbetare,19.0,10.066667989462882,-8.933332010537118,-0.4701753689756378
"Handläggare, offentlig förvaltning/Utredare, offentlig förvaltning",12.0,6.629166417986227,-5.370833582013773,-0.44756946516781443
Städare,19.0,5.283325301147265,-13.716674698852735,-0.7219302473080387
Innesäljare,19.0,4.95263067615929,-14.047369323840709,-0.7393352275705636
Barnvakt,31.0,-2.753896766279178,-33.753896766279176,-1.0888353795573928
Systemutvecklare/Programmerare,11.0,-5.889865618525574,-16.889865618525576,-1.5354423289568706
"Butikssäljare, fackhandel",16.0,-6.073676334189424,-22.073676334189425,-1.379604770886839
"Undersköterska, hemtjänst, äldreboende och habilitering",14.0,-9.466704277082124,-23.466704277082123,-1.676193162648723
Mediasäljare,2.0,-41.453239702745336,-43.453239702745336,-21.726619851372668
