county,start,end,delta,pct
Gotlands län,4,0,-4,-1.0
Blekinge län,6,0,-6,-1.0
Kronobergs län,6,0,-6,-1.0
Jämtlands län,7,0,-7,-1.0
Gävleborgs län,7,0,-7,-1.0
Örebro län,11,3,-8,-0.7272727272727273
Värmlands län,8,0,-8,-1.0
Västmanlands län,8,0,-8,-1.0
Hallands län,12,3,-9,-0.75
Dalarnas län,10,0,-10,-1.0
Södermanlands län,11,0,-11,-1.0
Västernorrlands län,13,0,-13,-1.0
Kalmar län,14,0,-14,-1.0
Uppsala län,14,0,-14,-1.0
Västerbottens län,18,0,-18,-1.0
Norrbottens län,19,0,-19,-1.0
Jönköpings län,20,0,-20,-1.0
Östergötlands län,22,1,-21,-0.9545454545454546
Västra Götalands län,67,28,-39,-0.582089552238806
Skåne län,66,8,-58,-0.8787878787878788
Stockholms län,134,22,-112,-0.835820895522388
