occupation_group,start,end,delta,pct
Account manager/AM,5,16,11,2.2
Eventsäljare/Eventförsäljare,0,8,8,1.0
Telefonförsäljare,5,11,6,1.2
Bensinstationsbiträde/Servicebiträde,0,3,3,1.0
Taxiförare/Taxichaufför,0,3,3,1.0
Fordonstekniker/Bilmekaniker/Personbilsmekaniker,0,2,2,1.0
Akutsjuksköterska,0,2,2,1.0
Besöksbokare/Kundbokare,0,1,1,1.0
"Civilingenjör, tillverkningsindustri",0,1,1,1.0
Plattsättare,0,1,1,1.0
Pizzabagare,0,1,1,1.0
Grillbiträde/Gatuköksbiträde,0,1,1,1.0
Marknadsassistent,0,1,1,1.0
Köksbiträde,1,2,1,1.0
Systemsäljare,0,1,1,1.0
"Verksamhetschef, hälso- och sjukvård",0,0,0,
"Projekteringsingenjör, maskin",0,0,0,
"Projektledare, el",0,0,0,
"Projektledare: kultur, media, film",0,0,0,
"Avsynare, metallprodukter",0,0,0,
Avlöningskontorist,0,0,0,
Arkivkanslist,0,0,0,
Arkivarie,0,0,0,
Biomedicinsk analytiker/BMA,0,0,0,
Biolog,0,0,0,
Bilbärgare,0,0,0,
Butiksansvarig,0,0,0,
Chief Information Officer/CIO/IT-chef,0,0,0,
CNC-operatör/FMS-operatör,0,0,0,
Bartender,0,0,0,
Cirkelledare/Studiecirkelledare,0,0,0,
Begravningsrådgivare,0,0,0,
Byggnadsingenjör,0,0,0,
"Trafikplanerare, offentlig förvaltning",0,0,0,
Bolagsjurist,0,0,0,
Rekryterare/Rekryteringskonsult,0,0,0,
Redovisningschef,0,0,0,
Renhållningsförare,0,0,0,
SQE Supplier Quality Engineer,0,0,0,
Servicehandläggare,0,0,0,
"Servicetekniker, elkraft",0,0,0,
Samhällsplanerare,0,0,0,
"Sektionschef, offentlig förvaltning",0,0,0,
Säkerhetsrådgivare,0,0,0,
Datapedagog/IT-pedagog/Datautbildare,0,0,0,
Tandläkare,0,0,0,
Technical Operation Manager/TOM,0,0,0,
Terminalarbetare,0,0,0,
Redovisningsassistent,0,0,0,
Bovärd/Fastighetsvärd/Husvärd,0,0,0,
Bussförare/Busschaufför,0,0,0,
Trafikingenjör,0,0,0,
Trafikinformatör,0,0,0,
Testledare,0,0,0,
"Drifttekniker, data",0,0,0,
"Civilingenjör, kvalitet, elektronik",0,0,0,
"Civilingenjör, maskin",0,0,0,
"Civilingenjör, kemi",0,0,0,
"Civilingenjör, el-tele",0,0,0,
"Civilingenjör, systemutveckling",0,0,0,
"Civilingenjör, produktion, elektronik",0,0,0,
Databasadministratör,0,0,0,
Dataingenjör,0,0,0,
"Personbilsförare, persontransporter",0,0,0,
Personalchef/HR-chef,0,0,0,
Pistmaskinförare,0,0,0,
Personligt ombud,0,0,0,
"Producent: kultur, media, film",0,0,0,
"Produktchef, marknadsföring",0,0,0,
Musikpedagog/Musiklärare,0,0,0,
"Mätningstekniker, bygg",0,0,0,
Officer,0,0,0,
Enhetschef inom social omsorg,0,0,0,
Enhetschef inom socialtjänst,0,0,0,
"Enhetschef, offentlig förvaltning",0,0,0,
"Receptionist, telefonist",0,0,0,
